,Unnamed: 0,Bag,Boot,Coat,Dress,Pullover,Sandal,Shirt,Sneaker,Top,Trouser,predict,actual,path
103,103,0.13102096,0.0057188827000000005,0.16355929,0.15093499999999999,0.11528926,0.0032010378999999998,0.23891883,0.0030058038,0.18299498,0.005356005400000001,Shirt,Bag,test/Bag/192.png
208,208,0.13246024,0.09084793,0.05258480000000001,0.31672302,0.09167591,0.022483684,0.055632144,0.015857581000000003,0.062402476,0.15933232,Dress,Bag,test/Bag/287.png
220,220,0.051037967000000004,0.016684586,0.01127561,0.20570497,0.029134157999999997,0.003947411,0.08421119,0.005611558399999999,0.5840092,0.008383354,Top,Bag,test/Bag/298.png
234,234,0.010384191,4.9791283999999995e-05,0.00051801885,0.00093126704,0.010692338999999999,8.1353195e-05,0.093114726,8.261745999999999e-05,0.88410866,3.7043083000000005e-05,Top,Bag,test/Bag/31.png
323,323,0.21398602,0.000984928,0.44683892,0.009626822,0.059451055,0.0006769769,0.24417855,0.00095077994,0.021629924,0.0016759328,Coat,Bag,test/Bag/390.png
433,433,0.16483793,0.00041044177,0.0057665976,0.0025227826999999997,0.11817782,0.00044901657,0.046917677000000005,0.0007779028999999999,0.6598065,0.00033330198,Top,Bag,test/Bag/49.png
521,521,0.029120434,0.0003601363,0.7018786,0.17389542,0.0047809444,9.466865e-05,0.08360785,0.00022343507,0.005149363,0.0008892462,Coat,Bag,test/Bag/569.png
574,574,2.8451884999999997e-07,3.5019467999999997e-10,5.2946652e-06,4.5489987000000005e-08,1.4661386e-05,4.265634e-09,0.99995756,5.8198424e-09,2.2332015e-05,4.002228e-09,Shirt,Bag,test/Bag/616.png
977,977,0.10574994,0.0008848978300000001,0.01104153,0.0045640646,0.024586696,0.0010121122,0.74647206,0.0012631434,0.10324065,0.0011849917,Shirt,Bag,test/Bag/98.png
1000,1000,4.4200355e-05,0.026392505,3.665128e-05,5.3514216999999996e-05,4.3666205e-05,0.97172797,8.235033000000002e-05,0.0014244447,0.00013273083,6.192803000000001e-05,Sandal,Boot,test/Boot/1.png
1044,1044,0.0006804634,0.22077489999999997,0.0010176053,0.000436998,0.00087763305,0.005860744,0.0012061748,0.76746213,0.0012414746,0.00044179937999999993,Sneaker,Boot,test/Boot/139.png
1055,1055,0.00045031739999999997,0.39382544,0.0008948672300000001,0.00043861274000000003,0.0005622229,0.0048660887,0.0008554785000000001,0.5967182,0.0008208291000000001,0.000567981,Sneaker,Boot,test/Boot/149.png
1061,1061,0.00034064892999999995,0.18522573,0.00060389464,0.00024120612999999996,0.00043515237999999996,0.0047038924,0.0006457898000000001,0.8069090999999999,0.0006386034,0.00025600994999999997,Sneaker,Boot,test/Boot/154.png
1092,1092,0.00065719936,0.29858962,0.0011982948,0.0006110801999999999,0.0008553861,0.006340965600000001,0.0013015445,0.68856895,0.0012191965,0.0006577439,Sneaker,Boot,test/Boot/182.png
1093,1093,0.0010992569,0.2957012,0.0017027727,0.0008308775999999999,0.0013247075,0.0077291434,0.0019164379,0.68696094,0.0018401620000000002,0.0008945251,Sneaker,Boot,test/Boot/183.png
1156,1156,0.0011731168,0.41365293,0.0018445451,0.0011766680999999999,0.0011059996,0.0075473776,0.0016705408,0.5687283000000001,0.0019324446,0.0011681116,Sneaker,Boot,test/Boot/24.png
1165,1165,0.00030576167,0.16128394,0.0006022541,0.00022340092,0.00033959348,0.0073580780000000005,0.0006599317999999999,0.8283741,0.0005589954,0.00029395966,Sneaker,Boot,test/Boot/248.png
