,Bag,Boot,Coat,Dress,Pullover,Sandal,Shirt,Sneaker,Top,Trouser,predict,actual,path
0,1.0,9.3153197e-20,1.7769939e-18,6.8280625e-20,2.6412707e-15,5.1705945e-20,2.7996176e-17,2.9284824e-18,2.2887338e-16,4.1895398e-22,Bag,Bag,test/Bag/1.png
1,1.0,9.826684e-14,2.3108902e-12,1.976088e-13,1.1312942e-10,7.34578e-14,2.9255896e-11,9.88208e-13,7.23904e-11,4.9084102e-15,Bag,Bag,test/Bag/10.png
2,1.0,4.2936463e-11,2.4915178e-10,4.300047e-11,1.0983058e-08,2.0506583e-11,1.7569324e-09,1.961375e-10,3.1998328e-09,2.6978268e-12,Bag,Bag,test/Bag/100.png
3,1.0,2.1127426e-13,4.458922e-12,4.969723e-13,6.2744934e-11,5.5599554e-14,5.045417e-12,5.182649e-13,1.2538626e-11,3.0124816e-15,Bag,Bag,test/Bag/101.png
4,0.9999969,3.200801e-08,7.816082e-08,1.9383943e-08,1.7510549e-06,1.4789144e-08,3.721089e-07,7.93346e-08,6.987377e-07,4.1040797e-09,Bag,Bag,test/Bag/102.png
5,0.99999976,4.4714087e-11,1.3609678e-09,2.3280483e-10,1.3716845e-08,5.996785e-11,1.2452385e-07,5.165829e-10,8.164253e-08,1.937861e-11,Bag,Bag,test/Bag/103.png
6,1.0,3.3158088e-12,2.2247842e-11,5.169639e-12,1.3942075e-09,3.0459274e-12,5.6726346e-10,5.2817285e-11,3.601129e-09,1.8954258e-13,Bag,Bag,test/Bag/104.png
7,1.0,3.3047058e-14,1.211272e-12,7.049924e-14,2.659287e-11,8.966752e-15,1.984334e-12,1.5298944e-13,2.4879252e-12,6.9555275e-16,Bag,Bag,test/Bag/105.png
8,1.0,3.8972464e-10,8.6211577e-10,2.2835168e-10,1.7940785e-08,1.8320806e-10,1.17096155e-08,2.130008e-09,2.0455321e-08,2.1292666e-11,Bag,Bag,test/Bag/106.png
9,1.0,7.719778e-14,2.5169784e-12,2.0111732e-13,6.6551674e-11,1.7974778e-14,4.2598893e-12,4.0897765e-13,1.2026628e-11,1.557962e-15,Bag,Bag,test/Bag/107.png
10,1.0,3.3362614e-12,6.693128e-11,1.3326389e-11,8.361636e-10,7.9202053e-13,7.055033e-11,8.30902e-12,2.0058512e-10,1.1570164e-13,Bag,Bag,test/Bag/108.png
11,0.9999968,1.0844555e-08,5.33405e-08,1.7588857e-08,7.391769e-07,9.3676e-09,4.834275e-07,4.8875414e-08,1.737776e-06,1.4437014e-09,Bag,Bag,test/Bag/109.png
12,0.99963,7.6168717e-06,1.4369289e-05,7.4381137e-06,9.100058e-05,5.578897e-06,6.303745e-05,1.3512478e-05,0.00016573379,1.5186135e-06,Bag,Bag,test/Bag/11.png
13,1.0,3.981658e-12,1.3658609e-11,3.1935784e-12,1.3651695e-09,5.495479e-12,2.1083539e-10,6.9670034e-11,1.7237654e-09,1.0204248e-13,Bag,Bag,test/Bag/110.png
14,0.99999774,1.0906338e-08,2.7208946e-08,6.0083765e-09,6.773663e-07,9.770879e-09,4.50935e-07,6.29393e-08,9.0327524e-07,1.6525888e-09,Bag,Bag,test/Bag/111.png
15,1.0,8.508683e-14,1.0457084e-12,2.0620265e-13,5.6809578e-11,4.4389676e-14,2.033152e-11,1.809564e-12,1.8295664e-10,3.4424626e-15,Bag,Bag,test/Bag/112.png
16,1.0,1.7083776e-10,1.1959866e-09,3.101856e-10,1.3162085e-08,4.588224e-11,2.161175e-09,2.9955752e-10,4.019549e-09,6.8420395e-12,Bag,Bag,test/Bag/113.png
17,0.99994576,1.473823e-07,6.093693e-07,1.6965751e-07,1.4028451e-05,3.147978e-07,7.6176934e-06,1.1299434e-06,3.0106388e-05,2.7152113e-08,Bag,Bag,test/Bag/114.png
18,0.9998431,1.2934278e-06,5.8620794e-06,2.564465e-06,1.0600804e-05,2.4842294e-07,0.000108745255,1.4799695e-06,2.5349205e-05,6.5898604e-07,Bag,Bag,test/Bag/115.png
19,1.0,8.1821146e-17,4.7317298e-15,1.7502201e-16,2.0714241e-13,1.6782135e-17,5.3415007e-15,4.184984e-16,1.2582785e-14,6.599736e-19,Bag,Bag,test/Bag/116.png
20,0.9999982,1.7001295e-08,4.491648e-07,3.865101e-08,8.52643e-07,4.4135846e-09,1.9972418e-07,2.8494899e-08,1.8167292e-07,1.91159e-09,Bag,Bag,test/Bag/117.png
21,0.99999964,1.7571462e-09,1.0009879e-08,1.8624731e-09,2.7220614e-07,7.518214e-10,3.931488e-08,6.900736e-09,1.5562229e-07,1.5973957e-10,Bag,Bag,test/Bag/118.png
22,1.0,1.7314666e-16,2.7075709e-15,1.2299923e-16,6.2172213e-13,6.332521e-17,1.2619029e-14,1.640165e-15,4.0588375e-14,1.73793e-18,Bag,Bag,test/Bag/119.png
23,1.0,8.359702e-11,5.8848737e-10,7.317529e-11,2.3226358e-08,8.512283e-11,1.5257951e-08,1.0487601e-09,2.6179578e-08,9.539066e-12,Bag,Bag,test/Bag/12.png
24,0.99903417,2.3063998e-05,2.5776659e-05,1.6756803e-05,0.0001967287,1.986607e-05,0.0001629466,4.573187e-05,0.00047096098,3.9504425e-06,Bag,Bag,test/Bag/120.png
25,0.9461791,0.008977546,0.004101308,0.0031324138,0.0055609285,0.008261264,0.0066149514,0.0024772591,0.013393629,0.0013017018,Bag,Bag,test/Bag/121.png
26,1.0,1.8040738e-20,6.663968e-19,1.859262e-20,5.892595e-16,7.0959156e-21,6.180164e-18,4.062925e-19,2.6660691e-17,8.710487e-23,Bag,Bag,test/Bag/122.png
27,1.0,2.7684387e-12,1.8513826e-11,2.1862132e-12,6.176371e-10,7.505697e-13,3.2583197e-11,6.9300763e-12,8.161223e-11,4.479205e-14,Bag,Bag,test/Bag/123.png
28,1.0,5.3857104e-17,1.515904e-15,1.5027757e-16,6.8468007e-13,4.873107e-17,4.2810383e-14,1.553428e-15,5.1944847e-13,1.1090362e-18,Bag,Bag,test/Bag/124.png
29,0.9999999,5.739249e-10,2.2071065e-09,8.5258217e-10,5.0279617e-08,3.145455e-10,5.0241752e-08,3.4807468e-09,1.1356065e-07,6.354851e-11,Bag,Bag,test/Bag/125.png
30,1.0,1.1719915e-12,2.3943274e-11,2.3780736e-12,5.0827154e-10,3.844731e-13,5.6640147e-11,5.1593946e-12,1.1059629e-10,5.0589415e-14,Bag,Bag,test/Bag/126.png
31,1.0,8.585523e-16,1.5975514e-14,7.6571535e-16,1.9257308e-12,2.8717996e-16,4.4932807e-14,5.7603577e-15,1.4099399e-13,1.0285947e-17,Bag,Bag,test/Bag/127.png
32,1.0,3.129735e-17,5.095105e-16,2.4050304e-17,1.5612357e-13,1.264045e-17,2.6511128e-15,3.7096004e-16,1.0709876e-14,2.0969747e-19,Bag,Bag,test/Bag/128.png
33,0.99999976,9.89203e-10,2.672795e-09,8.312672e-10,5.9840886e-08,6.052577e-10,5.4766435e-08,5.0664752e-09,1.5492469e-07,8.341638e-11,Bag,Bag,test/Bag/129.png
34,1.0,1.3691068e-13,9.371274e-13,2.1009564e-13,6.3936474e-11,7.933991e-14,2.450481e-11,2.2606244e-12,1.1048054e-10,5.3408286e-15,Bag,Bag,test/Bag/13.png
35,1.0,2.7483476e-11,2.979506e-10,3.57952e-11,1.3132721e-08,1.6079445e-11,1.5611942e-09,1.5517232e-10,6.6177313e-09,1.9275462e-12,Bag,Bag,test/Bag/130.png
36,1.0,2.1652968e-13,2.7105616e-12,1.8922074e-13,1.8349623e-10,8.308885e-14,6.61217e-12,1.0599053e-12,2.560413e-11,4.0123985e-15,Bag,Bag,test/Bag/131.png
37,0.9998888,5.776821e-07,2.8673542e-06,1.4671531e-06,1.085712e-05,3.744062e-07,4.9425533e-05,1.431036e-06,4.406613e-05,1.8250266e-07,Bag,Bag,test/Bag/132.png
38,0.9999975,1.6795754e-07,2.0517096e-07,9.012954e-08,1.4977718e-06,2.5692309e-08,1.6064448e-07,1.1599425e-07,2.3071445e-07,1.0261728e-08,Bag,Bag,test/Bag/133.png
39,1.0,3.9257527e-14,4.6224325e-13,3.992308e-14,5.176045e-11,1.7923322e-14,3.8259547e-12,3.0898174e-13,1.1436077e-11,1.1245491e-15,Bag,Bag,test/Bag/134.png
40,1.0,1.0657821e-12,6.728734e-12,8.9731597e-13,3.792226e-10,6.5514944e-13,1.705519e-10,1.6554555e-11,6.7368566e-10,6.034734e-14,Bag,Bag,test/Bag/135.png
41,1.0,1.1606135e-15,2.0365294e-14,1.1361437e-15,1.5135862e-12,3.01989e-16,3.6465653e-14,6.6344067e-15,7.590837e-14,1.0274966e-17,Bag,Bag,test/Bag/136.png
42,0.93612033,0.00011831908,0.04691231,0.0046414826,0.0047442005,4.520604e-05,0.0049683605,9.4263305e-05,0.0022185962,0.00013683067,Bag,Bag,test/Bag/137.png
43,1.0,1.7598196e-17,4.5557206e-16,1.441675e-17,1.3504516e-13,4.77353e-18,1.7513698e-15,2.269944e-16,8.600835e-15,1.4431924e-19,Bag,Bag,test/Bag/138.png
44,1.0,7.480415e-13,9.984526e-12,2.4783014e-12,3.8509165e-10,5.2990083e-13,2.2901861e-10,1.3437007e-11,1.2025562e-09,5.733024e-14,Bag,Bag,test/Bag/139.png
45,1.0,9.699459e-11,4.888951e-10,1.403216e-10,1.5510146e-08,6.0715266e-11,6.045924e-09,7.9768875e-10,2.7342294e-08,7.63943e-12,Bag,Bag,test/Bag/14.png
46,1.0,6.977013e-12,9.205588e-11,1.6952016e-11,1.4911659e-09,2.4740743e-12,1.7955282e-10,2.3955516e-11,3.5947723e-10,2.654232e-13,Bag,Bag,test/Bag/140.png
